 "title" , "date" , "org" , "loc" ,
 "CNC-Dreher/in" , "2015-11-13T01:52:04+00:00" , "PEAG Personal GmbH   Niederlassung Hamburg" , "Hamburg, Deutschland" ,
 "Data Scientist" , "2015-11-24T16:40:25+00:00" , "Munich Re " , "M?nchen (Kreis), Bayern" ,
 "Praktikant m|w" , "2015-11-23T17:21:23+00:00" , "Strategy&" , "D?sseldorf, Nordrhein-Westfalen" ,
 "Senior Softwareentwickler Logistikdienstleistung(w/m)" , "2015-02-03T13:52:45+00:00" , "n/a" , "Rheinland-Pfalz, Deutschland" ,
 "Projektmanager (m/w) Information Engineering" , "2015-06-12T20:38:48+00:00" , "Vodafone" , "D?sseldorf, Nordrhein-Westfalen" ,
 "Softwareentwickler (m/w)" , "2015-05-17T16:45:19+00:00" , "n/a" , "Grimma, Leipzig (Kreis)" ,
 "Bauleiter (m/w)" , "2015-11-23T11:08:12+00:00" , "n/a" , "Hannover, Region Hannover (Kreis)" ,
 "Backend Software Developer (m/f)" , "2015-09-29T03:38:47+00:00" , "n/a" , "M?nchen (Kreis), Bayern" ,
 "Ausbildung Industriekaufmann (m/w)" , "2015-11-02T17:46:39+00:00" , "ABB Training Center GmbH & Co. KG" , "Ratingen, Mettmann (Kreis)" ,
 "Dualer Studiengang Bachelor of Arts (Fachrichtung Bank/Vertrieb) Bayern" , "2015-11-18T18:23:01+00:00" , "TARGOBANK AG & Co." , "Bayern, Deutschland" ,
 "Spezialist CFK m/w" , "2015-06-28T20:00:33+00:00" , "n/a" , "Landshut, Landshut (Kreis)" ,
 "Specialist Flight Operation Auditing (m/w)" , "2015-11-14T18:33:19+00:00" , "Lufthansa Group" , "Frankfurt am Main, Hessen" ,
 "Data Analyst / Consultant analytisches CRM (m/w) f?r unseren Premium Partner EDEKA" , "2015-11-21T11:51:48+00:00" , "n/a" , "Hamburg, Deutschland" ,
 "Produktmanager (m/w) im Bereich Privat Kraft" , "2015-11-19T18:58:42+00:00" , "Allianz Versicherungs AG" , "Unterf?hring, M?nchen (Kreis)" ,
 "Controller / Assistent der Gesch?ftsleitung" , "2015-10-29T18:33:02+00:00" , "JOB AG Industrial Service GmbH" , "Berlin, Deutschland" ,
 "Projektmanager (m/w)" , "2015-11-07T02:02:58+00:00" , "V?lker GmbH" , "Deutschland" ,
 "IT APPLICATION MANAGER (M/W)" , "2015-09-30T05:02:57+00:00" , "THOMAS SABO GmbH & Co. KG" , "Lauf an der Pegnitz, N?rnberger Land (Kreis)" ,
 "<strong>Datenmanagement</strong> (m/w) auf Minijob - Basis" , "2015-10-08T22:09:23+00:00" , "Immowelt AG" , "Buchenb?hl, N?rnberg" ,
 "SOFTWARE TEST ENGINEER / QA (m/w)" , "2015-10-06T14:18:28+00:00" , "Markus Baldauf   IT Headhunting und Executive Search" , "Deutschland" ,
 "Bilanzbuchhalter/in" , "2015-02-03T13:21:02+00:00" , "n/a" , "Berlin, Deutschland" ,
 "Inhouse Business Intelligence Berater (m/w)" , "2015-08-20T15:49:54+00:00" , "Hays AG" , "Bad Vilbel, Wetteraukreis" ,
 "Praktikant Vertriebscontrolling (m/w) f?r die Dauer von 6 Monaten (Pflichtpraktikum)" , "2015-10-28T17:12:30+00:00" , "Adelholzener Alpenquellen GmbH" , "Siegsdorf, Traunstein (Kreis)" ,
 "Senior Data Scientist (m/w) Consulting - Information Management" , "2015-10-06T14:16:00+00:00" , "Deloitte & Touche GmbH" , "Berlin, Deutschland" ,
 "CTO / Chief Technology Office E-Commerce (m/w)" , "2015-10-28T11:57:50+00:00" , "n/a" , "Berlin, Deutschland"
